EXAMPLE_ID,FAMILY,COMPLETION_FRACTION,NEXT_STEP
mosfet_0019_80,mosfet,0.8,DEVELOP PAD WINDOW
mosfet_0020_60,mosfet,0.6,MEASURE VIA CD
mosfet_0020_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0021_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0021_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0022_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0022_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0023_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0023_80,mosfet,0.8,DEVELOP PHOTORESIST
mosfet_0024_60,mosfet,0.6,STRIP PHOTORESIST
mosfet_0024_80,mosfet,0.8,DEVELOP PHOTORESIST
mosfet_0025_60,mosfet,0.6,STRIP RESIST
mosfet_0025_80,mosfet,0.8,STRIP RESIST
mosfet_0026_60,mosfet,0.6,DEPOSIT METAL SEED
mosfet_0026_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0027_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0027_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0028_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0028_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0029_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0029_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0030_60,mosfet,0.6,STRIP PHOTORESIST
mosfet_0030_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0031_60,mosfet,0.6,MEASURE VIA CD
mosfet_0031_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0032_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0032_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0033_60,mosfet,0.6,STRIP PHOTORESIST
mosfet_0033_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0034_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0034_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0035_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0035_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0036_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0036_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0037_60,mosfet,0.6,MEASURE VIA CD
mosfet_0037_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0038_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0038_80,mosfet,0.8,STRIP RESIST
mosfet_0039_60,mosfet,0.6,MEASURE VIA CD
mosfet_0039_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0040_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0040_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0041_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0041_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0042_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0042_80,mosfet,0.8,STRIP RESIST
mosfet_0043_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0043_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0044_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0044_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0045_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0045_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0046_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0046_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0047_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0047_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0048_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0048_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0049_60,mosfet,0.6,MEASURE VIA CD
mosfet_0049_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0050_60,mosfet,0.6,MEASURE VIA CD
mosfet_0050_80,mosfet,0.8,DEVELOP PAD WINDOW
mosfet_0051_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0051_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0052_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0052_80,mosfet,0.8,DEVELOP PAD WINDOW
mosfet_0053_60,mosfet,0.6,MEASURE VIA CD
mosfet_0053_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0054_60,mosfet,0.6,MEASURE VIA CD
mosfet_0054_80,mosfet,0.8,STRIP RESIST
mosfet_0055_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0055_80,mosfet,0.8,DEVELOP PAD WINDOW
mosfet_0056_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0056_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0057_60,mosfet,0.6,MEASURE VIA CD
mosfet_0057_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0058_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0058_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0059_60,mosfet,0.6,MEASURE VIA CD
mosfet_0059_80,mosfet,0.8,STRIP RESIST
mosfet_0060_60,mosfet,0.6,DEPOSIT METAL SEED
mosfet_0060_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0061_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0061_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0062_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0062_80,mosfet,0.8,STRIP RESIST
mosfet_0063_60,mosfet,0.6,STRIP PHOTORESIST
mosfet_0063_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0064_60,mosfet,0.6,MEASURE VIA CD
mosfet_0064_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0065_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0065_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0066_60,mosfet,0.6,FILL VIA METAL
mosfet_0066_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0067_60,mosfet,0.6,MEASURE VIA CD
mosfet_0067_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0068_60,mosfet,0.6,DIELECTRIC ETCH VIA
mosfet_0068_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0069_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0069_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0070_60,mosfet,0.6,MEASURE VIA CD
mosfet_0070_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0071_60,mosfet,0.6,MEASURE VIA CD
mosfet_0071_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0072_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0072_80,mosfet,0.8,STRIP RESIST
mosfet_0073_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0073_80,mosfet,0.8,STRIP RESIST
mosfet_0074_60,mosfet,0.6,MEASURE VIA CD
mosfet_0074_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0075_60,mosfet,0.6,STRIP RESIST
mosfet_0075_80,mosfet,0.8,DEVELOP PAD WINDOW
mosfet_0076_60,mosfet,0.6,MEASURE VIA CD
mosfet_0076_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0077_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0077_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0078_60,mosfet,0.6,MEASURE VIA CD
mosfet_0078_80,mosfet,0.8,DEVELOP PAD WINDOW
mosfet_0079_60,mosfet,0.6,VIA ETCH THROUGH DIELECTRIC
mosfet_0079_80,mosfet,0.8,DEVELOP PHOTORESIST
mosfet_0080_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0080_80,mosfet,0.8,STRIP RESIST
mosfet_0081_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0081_80,mosfet,0.8,STRIP RESIST
mosfet_0082_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0082_80,mosfet,0.8,STRIP RESIST
mosfet_0083_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0083_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0084_60,mosfet,0.6,STRIP RESIST
mosfet_0084_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0085_60,mosfet,0.6,STRIP RESIST
mosfet_0085_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0086_60,mosfet,0.6,DEPOSIT METAL SEED
mosfet_0086_80,mosfet,0.8,STRIP RESIST
mosfet_0087_60,mosfet,0.6,STRIP RESIST
mosfet_0087_80,mosfet,0.8,DEVELOP PAD WINDOW
mosfet_0088_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0088_80,mosfet,0.8,STRIP RESIST
mosfet_0089_60,mosfet,0.6,STRIP PHOTORESIST
mosfet_0089_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0090_60,mosfet,0.6,STRIP PHOTORESIST
mosfet_0090_80,mosfet,0.8,DEVELOP PHOTORESIST
mosfet_0091_60,mosfet,0.6,MEASURE VIA CD
mosfet_0091_80,mosfet,0.8,PASSIVATION ETCH PAD OPENING
mosfet_0092_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0092_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0093_60,mosfet,0.6,MEASURE VIA CD
mosfet_0093_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0094_60,mosfet,0.6,MEASURE VIA CD
mosfet_0094_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0095_60,mosfet,0.6,MEASURE VIA CD
mosfet_0095_80,mosfet,0.8,CLEAN PAD OPENING
mosfet_0096_60,mosfet,0.6,CLEAN AFTER VIA ETCH
mosfet_0096_80,mosfet,0.8,PASSIVATION ETCH
mosfet_0097_60,mosfet,0.6,DEPOSIT BARRIER METAL
mosfet_0097_80,mosfet,0.8,STRIP PHOTORESIST
mosfet_0098_60,mosfet,0.6,STRIP RESIST
mosfet_0098_80,mosfet,0.8,STRIP RESIST
mosfet_0099_60,mosfet,0.6,STRIP RESIST
mosfet_0099_80,mosfet,0.8,STRIP RESIST
igbt_0100_60,igbt,0.6,SOFT BAKE
igbt_0100_80,igbt,0.8,CURE PASSIVATION
igbt_0101_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0101_80,igbt,0.8,CURE PASSIVATION
igbt_0102_60,igbt,0.6,MEASURE PLANARITY
igbt_0102_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0103_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0103_80,igbt,0.8,CURE PASSIVATION
igbt_0104_60,igbt,0.6,MEASURE PLANARITY
igbt_0104_80,igbt,0.8,DEPOSIT PASSIVATION LAYER
igbt_0105_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0105_80,igbt,0.8,CURE PASSIVATION
igbt_0106_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0106_80,igbt,0.8,CURE PASSIVATION
igbt_0107_60,igbt,0.6,MEASURE PLANARITY
igbt_0107_80,igbt,0.8,CURE PASSIVATION
igbt_0108_60,igbt,0.6,MEASURE FILM THICKNESS
igbt_0108_80,igbt,0.8,CURE PASSIVATION
igbt_0109_60,igbt,0.6,CMP INTERLAYER DIELECTRIC
igbt_0109_80,igbt,0.8,DEPOSIT PASSIVATION LAYER
igbt_0110_60,igbt,0.6,CMP INTERLAYER DIELECTRIC
igbt_0110_80,igbt,0.8,MEASURE LINE WIDTH
igbt_0111_60,igbt,0.6,MEASURE DIELECTRIC THICKNESS
igbt_0111_80,igbt,0.8,MEASURE LINE WIDTH
igbt_0112_60,igbt,0.6,SOFT BAKE
igbt_0112_80,igbt,0.8,CURE PASSIVATION
igbt_0113_60,igbt,0.6,SOFT BAKE
igbt_0113_80,igbt,0.8,DEPOSIT PASSIVATION LAYER
igbt_0114_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0114_80,igbt,0.8,CURE PASSIVATION
igbt_0115_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0115_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0116_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0116_80,igbt,0.8,DEPOSIT PASSIVATION LAYER
igbt_0117_60,igbt,0.6,CMP INTERLAYER DIELECTRIC
igbt_0117_80,igbt,0.8,CURE PASSIVATION
igbt_0118_60,igbt,0.6,CMP DIELECTRIC
igbt_0118_80,igbt,0.8,CURE PASSIVATION
igbt_0119_60,igbt,0.6,MEASURE PLANARITY
igbt_0119_80,igbt,0.8,CURE PASSIVATION
igbt_0120_60,igbt,0.6,ALIGN MASK LEVEL 5
igbt_0120_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0121_60,igbt,0.6,CMP DIELECTRIC
igbt_0121_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0122_60,igbt,0.6,CMP DIELECTRIC
igbt_0122_80,igbt,0.8,CURE PASSIVATION
igbt_0123_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0123_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0124_60,igbt,0.6,CMP DIELECTRIC
igbt_0124_80,igbt,0.8,CURE PASSIVATION
igbt_0125_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0125_80,igbt,0.8,CURE PASSIVATION
igbt_0126_60,igbt,0.6,MEASURE DIELECTRIC THICKNESS
igbt_0126_80,igbt,0.8,DEPOSIT PASSIVATION LAYER
igbt_0127_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0127_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0128_60,igbt,0.6,MEASURE DIELECTRIC THICKNESS
igbt_0128_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0129_60,igbt,0.6,CMP DIELECTRIC
igbt_0129_80,igbt,0.8,MEASURE LINE WIDTH
igbt_0130_60,igbt,0.6,CMP DIELECTRIC
igbt_0130_80,igbt,0.8,CURE PASSIVATION
igbt_0131_60,igbt,0.6,CMP INTERLAYER DIELECTRIC
igbt_0131_80,igbt,0.8,MEASURE PASSIVATION THICKNESS
igbt_0132_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0132_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0133_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0133_80,igbt,0.8,MEASURE PASSIVATION THICKNESS
igbt_0134_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0134_80,igbt,0.8,CURE PASSIVATION
igbt_0135_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0135_80,igbt,0.8,CURE PASSIVATION
igbt_0136_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0136_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0137_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0137_80,igbt,0.8,CURE PASSIVATION
igbt_0138_60,igbt,0.6,MEASURE PLANARITY
igbt_0138_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0139_60,igbt,0.6,ALIGN MASK LEVEL 5
igbt_0139_80,igbt,0.8,CURE PASSIVATION
igbt_0140_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0140_80,igbt,0.8,CURE PASSIVATION
igbt_0141_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0141_80,igbt,0.8,CURE PASSIVATION
igbt_0142_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0142_80,igbt,0.8,CURE PASSIVATION
igbt_0143_60,igbt,0.6,SOFT BAKE
igbt_0143_80,igbt,0.8,CURE PASSIVATION
igbt_0144_60,igbt,0.6,MEASURE PLANARITY
igbt_0144_80,igbt,0.8,CURE PASSIVATION
igbt_0145_60,igbt,0.6,CMP INTERLAYER DIELECTRIC
igbt_0145_80,igbt,0.8,CURE PASSIVATION
igbt_0146_60,igbt,0.6,MEASURE DIELECTRIC THICKNESS
igbt_0146_80,igbt,0.8,CURE PASSIVATION
igbt_0147_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0147_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0148_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0148_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0149_60,igbt,0.6,MEASURE PLANARITY
igbt_0149_80,igbt,0.8,MEASURE PASSIVATION THICKNESS
igbt_0150_60,igbt,0.6,MEASURE PLANARITY
igbt_0150_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0151_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0151_80,igbt,0.8,CURE PASSIVATION
igbt_0152_60,igbt,0.6,SOFT BAKE
igbt_0152_80,igbt,0.8,CURE PASSIVATION
igbt_0153_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0153_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0154_60,igbt,0.6,CMP DIELECTRIC
igbt_0154_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0155_60,igbt,0.6,MEASURE FILM THICKNESS
igbt_0155_80,igbt,0.8,CLEAN AFTER METAL ETCH
igbt_0156_60,igbt,0.6,SOFT BAKE
igbt_0156_80,igbt,0.8,CURE PASSIVATION
igbt_0157_60,igbt,0.6,MEASURE PLANARITY
igbt_0157_80,igbt,0.8,CURE PASSIVATION
igbt_0158_60,igbt,0.6,SOFT BAKE
igbt_0158_80,igbt,0.8,MEASURE PASSIVATION THICKNESS
igbt_0159_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0159_80,igbt,0.8,CURE PASSIVATION
igbt_0160_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0160_80,igbt,0.8,CURE PASSIVATION
igbt_0161_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0161_80,igbt,0.8,CURE PASSIVATION
igbt_0162_60,igbt,0.6,CMP DIELECTRIC
igbt_0162_80,igbt,0.8,CURE PASSIVATION
igbt_0163_60,igbt,0.6,CMP INTERLAYER DIELECTRIC
igbt_0163_80,igbt,0.8,CURE PASSIVATION
igbt_0164_60,igbt,0.6,DEPOSIT INTERLAYER DIELECTRIC
igbt_0164_80,igbt,0.8,CLEAN AFTER METAL ETCH
igbt_0165_60,igbt,0.6,MEASURE PLANARITY
igbt_0165_80,igbt,0.8,DEPOSIT PASSIVATION LAYER
igbt_0166_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0166_80,igbt,0.8,CURE PASSIVATION
igbt_0167_60,igbt,0.6,SOFT BAKE
igbt_0167_80,igbt,0.8,CURE PASSIVATION
igbt_0168_60,igbt,0.6,SOFT BAKE
igbt_0168_80,igbt,0.8,MEASURE PASSIVATION THICKNESS
igbt_0169_60,igbt,0.6,MEASURE FILM THICKNESS
igbt_0169_80,igbt,0.8,MEASURE LINE WIDTH
igbt_0170_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0170_80,igbt,0.8,CURE PASSIVATION
igbt_0171_60,igbt,0.6,SOFT BAKE
igbt_0171_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0172_60,igbt,0.6,MEASURE PLANARITY
igbt_0172_80,igbt,0.8,DEPOSIT PASSIVATION LAYER
igbt_0173_60,igbt,0.6,DENSIFY OXIDE
igbt_0173_80,igbt,0.8,CURE PASSIVATION
igbt_0174_60,igbt,0.6,MEASURE PLANARITY
igbt_0174_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0175_60,igbt,0.6,ALIGN MASK LEVEL 5
igbt_0175_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0176_60,igbt,0.6,SOFT BAKE
igbt_0176_80,igbt,0.8,CURE PASSIVATION
igbt_0177_60,igbt,0.6,MEASURE FILM THICKNESS
igbt_0177_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0178_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0178_80,igbt,0.8,CURE PASSIVATION
igbt_0179_60,igbt,0.6,CMP DIELECTRIC
igbt_0179_80,igbt,0.8,MEASURE LINE WIDTH
igbt_0180_60,igbt,0.6,MEASURE FILM THICKNESS
igbt_0180_80,igbt,0.8,CURE PASSIVATION
igbt_0181_60,igbt,0.6,EXPOSE LITHO LEVEL 5
igbt_0181_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0182_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0182_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0183_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0183_80,igbt,0.8,DEPOSIT PASSIVATION LAYER
igbt_0184_60,igbt,0.6,MEASURE PLANARITY
igbt_0184_80,igbt,0.8,CURE PASSIVATION
igbt_0185_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0185_80,igbt,0.8,CURE PASSIVATION
igbt_0186_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0186_80,igbt,0.8,CURE PASSIVATION
igbt_0187_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0187_80,igbt,0.8,CURE PASSIVATION
igbt_0188_60,igbt,0.6,CMP INTERLAYER DIELECTRIC
igbt_0188_80,igbt,0.8,DEPOSIT PASSIVATION LAYER
igbt_0189_60,igbt,0.6,CMP INTERLAYER DIELECTRIC
igbt_0189_80,igbt,0.8,CURE PASSIVATION
igbt_0190_60,igbt,0.6,SOFT BAKE
igbt_0190_80,igbt,0.8,MEASURE PASSIVATION THICKNESS
igbt_0191_60,igbt,0.6,MEASURE FILM THICKNESS
igbt_0191_80,igbt,0.8,CURE PASSIVATION
igbt_0192_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0192_80,igbt,0.8,CURE PASSIVATION
igbt_0193_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0193_80,igbt,0.8,CURE PASSIVATION
igbt_0194_60,igbt,0.6,SPIN COAT PHOTORESIST
igbt_0194_80,igbt,0.8,MEASURE PASSIVATION QUALITY
igbt_0195_60,igbt,0.6,MEASURE PLANARITY
igbt_0195_80,igbt,0.8,CURE PASSIVATION
igbt_0196_60,igbt,0.6,MEASURE PLANARITY
igbt_0196_80,igbt,0.8,CURE PASSIVATION
igbt_0197_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0197_80,igbt,0.8,DEPOSIT PASSIVATION
igbt_0198_60,igbt,0.6,MEASURE DIELECTRIC THICKNESS
igbt_0198_80,igbt,0.8,CURE PASSIVATION
igbt_0199_60,igbt,0.6,MEASURE SURFACE PLANARITY
igbt_0199_80,igbt,0.8,CURE PASSIVATION
ic_0200_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0200_80,ic,0.8,PAD WINDOW LITHO
ic_0201_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0201_80,ic,0.8,DEVELOP PAD WINDOW
ic_0202_60,ic,0.6,STRIP PHOTORESIST
ic_0202_80,ic,0.8,MEASURE PASSIVATION QUALITY
ic_0203_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0203_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0204_60,ic,0.6,MEASURE VIA CD
ic_0204_80,ic,0.8,DEVELOP PHOTORESIST
ic_0205_60,ic,0.6,MEASURE VIA CD
ic_0205_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0206_60,ic,0.6,VIA ETCH
ic_0206_80,ic,0.8,MEASURE PASSIVATION QUALITY
ic_0207_60,ic,0.6,STRIP PHOTORESIST
ic_0207_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0208_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0208_80,ic,0.8,PASSIVATION ETCH
ic_0209_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0209_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0210_60,ic,0.6,MEASURE VIA CD
ic_0210_80,ic,0.8,DEVELOP PHOTORESIST
ic_0211_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0211_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0212_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0212_80,ic,0.8,PAD WINDOW LITHO
ic_0213_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0213_80,ic,0.8,PAD WINDOW LITHO
ic_0214_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0214_80,ic,0.8,STRIP RESIST
ic_0215_60,ic,0.6,VIA INSPECTION
ic_0215_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0216_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0216_80,ic,0.8,OPEN PAD WINDOW
ic_0217_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0217_80,ic,0.8,PASSIVATION ETCH
ic_0218_60,ic,0.6,CLEAN AFTER VIA ETCH
