EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
anomaly_0179,0,0.0621,RULE_ETCH_NO_MASK
anomaly_0027,1,0.9996,
anomaly_0539,1,0.9995,
anomaly_0435,0,0.0606,RULE_ETCH_NO_MASK
anomaly_0717,1,0.9995,
anomaly_0625,1,0.9988,
anomaly_0770,1,0.9989,
anomaly_0051,0,0.0922,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0852,0,0.0021,RULE_LITHO_LEVEL_SKIP
anomaly_0376,1,0.9996,
anomaly_0695,1,0.9985,
anomaly_0174,1,0.9996,
anomaly_0148,1,0.9994,
anomaly_0777,1,0.9996,
anomaly_0949,1,0.9997,
anomaly_0149,1,0.9996,
anomaly_0963,1,0.9908,
anomaly_0080,1,0.9997,
anomaly_0312,1,0.9996,
anomaly_0945,0,0.0020,RULE_DEP_NO_CLEAN
anomaly_0415,1,0.9995,
anomaly_0587,0,0.0504,RULE_ETCH_NO_MASK
anomaly_0242,1,0.9996,
anomaly_0211,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0407,1,0.9988,
anomaly_0972,1,0.9996,
anomaly_0555,0,0.0006,RULE_METAL_ETCH_NO_LITHO
anomaly_0613,0,0.0013,RULE_TEST_BEFORE_PASSIVATION
anomaly_0418,1,0.9996,
anomaly_0698,1,0.9997,
anomaly_0120,0,0.0014,RULE_METAL_ETCH_NO_LITHO
anomaly_0597,0,0.2435,RULE_CMP_NO_DEP
anomaly_0145,1,0.9996,
anomaly_0030,1,0.9995,
anomaly_0764,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0122,0,0.0123,RULE_TEST_BEFORE_PASSIVATION
anomaly_0712,0,0.0023,RULE_METAL_ETCH_NO_LITHO
anomaly_0062,1,0.9997,
anomaly_0319,1,0.9991,
anomaly_0920,0,0.0020,RULE_DEP_NO_CLEAN
anomaly_0006,1,0.9985,
anomaly_0385,1,0.9995,
anomaly_0632,1,0.9996,
anomaly_0673,0,0.0044,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0886,1,0.9981,
anomaly_0194,1,0.9996,
anomaly_0294,1,0.9992,
anomaly_0265,1,0.9995,
anomaly_0370,1,0.9997,
anomaly_0018,1,0.9995,
anomaly_0523,1,0.9997,
anomaly_0863,0,0.0403,RULE_ETCH_NO_MASK
anomaly_0618,0,0.0008,RULE_TEST_BEFORE_PASSIVATION
anomaly_0548,1,0.9997,
anomaly_0139,1,0.9997,
anomaly_0192,1,0.9996,
anomaly_0005,0,0.3939,RULE_CMP_NO_DEP
anomaly_0317,0,0.0032,RULE_METAL_ETCH_NO_LITHO
anomaly_0021,1,0.9997,
anomaly_0214,0,0.0043,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0065,0,0.0029,RULE_LITHO_LEVEL_SKIP
anomaly_0405,0,0.0007,RULE_TEST_BEFORE_PASSIVATION
anomaly_0299,0,0.1375,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0330,0,0.1840,RULE_CMP_NO_DEP
anomaly_0193,1,0.9998,
anomaly_0909,1,0.9990,
anomaly_0456,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0436,0,0.0123,RULE_DEP_NO_CLEAN
anomaly_0483,0,0.0013,RULE_TEST_BEFORE_PASSIVATION
anomaly_0416,1,0.9997,
anomaly_0621,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0233,1,0.9996,
anomaly_0783,1,0.9997,
anomaly_0426,0,0.0911,RULE_ETCH_NO_MASK
anomaly_0646,1,0.9996,
anomaly_0741,1,0.9994,
anomaly_0481,1,0.9997,
anomaly_0947,0,0.0023,RULE_TEST_BEFORE_PASSIVATION
anomaly_0237,0,0.1108,RULE_CMP_NO_DEP
anomaly_0620,1,0.9996,
anomaly_0871,0,0.0253,RULE_DEP_NO_CLEAN
anomaly_0535,1,0.9964,
anomaly_0560,0,0.0194,RULE_CMP_NO_DEP
anomaly_0202,0,0.0160,RULE_IMPLANT_NO_MASK
anomaly_0014,1,0.9989,
anomaly_0500,1,0.9996,
anomaly_0240,0,0.0045,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0085,1,0.9995,
anomaly_0410,1,0.9983,
anomaly_0173,1,0.9933,
anomaly_0288,0,0.0017,RULE_LITHO_LEVEL_SKIP
anomaly_0477,0,0.0233,RULE_IMPLANT_NO_MASK
anomaly_0596,0,0.1122,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0452,0,0.0067,RULE_TEST_BEFORE_PASSIVATION
anomaly_0578,0,0.0037,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0517,1,0.9998,
anomaly_0250,1,0.9998,
anomaly_0798,1,0.9996,
anomaly_0280,1,0.9997,
anomaly_0448,1,0.9996,
anomaly_0889,0,0.0062,RULE_METAL_ETCH_NO_LITHO
anomaly_0365,1,0.9994,
anomaly_0746,1,0.9998,
anomaly_0181,1,0.9994,
anomaly_0589,1,0.9995,
anomaly_0602,1,0.9984,
anomaly_0526,0,0.0290,RULE_TEST_BEFORE_PASSIVATION
anomaly_0011,1,0.9997,
anomaly_0200,1,0.9991,
anomaly_0505,0,0.0094,RULE_METAL_ETCH_NO_LITHO
anomaly_0528,0,0.0017,RULE_LITHO_LEVEL_SKIP
anomaly_0032,1,0.9993,
anomaly_0640,1,0.9996,
anomaly_0398,1,0.9989,
anomaly_0278,1,0.9994,
anomaly_0437,1,0.9996,
anomaly_0561,1,0.9994,
anomaly_0531,1,0.9997,
anomaly_0713,0,0.0069,RULE_TEST_BEFORE_PASSIVATION
anomaly_0394,1,0.9993,
anomaly_0079,1,0.9996,
anomaly_0362,1,0.9996,
anomaly_0573,1,0.9989,
anomaly_0839,1,0.9998,
anomaly_0583,1,0.9998,
anomaly_0042,1,0.9996,
anomaly_0873,1,0.9995,
anomaly_0514,1,0.9994,
anomaly_0382,0,0.1035,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0140,1,0.9995,
anomaly_0445,1,0.9996,
anomaly_0600,1,0.9995,
anomaly_0040,0,0.2871,RULE_CMP_NO_DEP
anomaly_0720,1,0.9996,
anomaly_0141,0,0.0555,RULE_ETCH_NO_MASK
anomaly_0964,1,0.9994,
anomaly_0321,1,0.9989,
anomaly_0803,1,0.9996,
anomaly_0475,1,0.9996,
anomaly_0951,1,0.9996,
anomaly_0127,0,0.0082,RULE_LITHO_LEVEL_SKIP
anomaly_0133,1,0.9992,
anomaly_0728,1,0.9861,
anomaly_0831,0,0.0125,RULE_IMPLANT_NO_MASK
anomaly_0903,1,0.9996,
anomaly_0981,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0789,0,0.1603,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0588,1,0.9997,
anomaly_0259,0,0.0288,RULE_DEP_NO_CLEAN
anomaly_0314,0,0.0034,RULE_METAL_ETCH_NO_LITHO
anomaly_0757,1,0.9996,
anomaly_0163,1,0.9995,
anomaly_0305,0,0.0350,RULE_ETCH_NO_MASK
anomaly_0287,0,0.0170,RULE_CMP_NO_DEP
anomaly_0586,1,0.9989,
anomaly_0797,1,0.9996,
anomaly_0069,1,0.9992,
anomaly_0933,1,0.9993,
anomaly_0635,1,0.9997,
anomaly_0923,1,0.9997,
anomaly_0671,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0779,1,0.9996,
anomaly_0238,1,0.9993,
anomaly_0266,1,0.9995,
anomaly_0091,1,0.9996,
anomaly_0823,1,0.9998,
anomaly_0918,1,0.9995,
anomaly_0055,0,0.0079,RULE_DEP_NO_CLEAN
anomaly_0650,1,0.9996,
anomaly_0931,0,0.2450,RULE_CMP_NO_DEP
anomaly_0649,0,0.1549,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0375,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0125,0,0.0018,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0482,1,0.9995,
anomaly_0729,0,0.0226,RULE_CMP_NO_DEP
anomaly_0915,1,0.9997,
anomaly_0424,0,0.0024,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0694,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0295,1,0.9994,
anomaly_0851,1,0.9995,
anomaly_0213,0,0.1001,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0906,1,0.9996,
anomaly_0038,1,0.9995,
anomaly_0313,1,0.9993,
anomaly_0709,1,0.9998,
anomaly_0126,1,0.9997,
anomaly_0024,0,0.0557,RULE_IMPLANT_NO_MASK
anomaly_0495,0,0.0057,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0590,0,0.0038,RULE_LITHO_LEVEL_SKIP
anomaly_0102,1,0.9996,
anomaly_0116,1,0.9997,
anomaly_0429,1,0.9995,
anomaly_0938,1,0.9996,
anomaly_0121,0,0.0301,RULE_DEP_NO_CLEAN
anomaly_0048,1,0.9996,
anomaly_0172,1,0.9995,
anomaly_0318,1,0.9996,
anomaly_0325,0,0.0016,RULE_LITHO_LEVEL_SKIP
anomaly_0663,0,0.0014,RULE_LITHO_LEVEL_SKIP
anomaly_0264,0,0.1017,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0146,1,0.9997,
anomaly_0044,1,0.9992,
anomaly_0494,0,0.0019,RULE_LITHO_LEVEL_SKIP
anomaly_0087,0,0.0004,RULE_TEST_BEFORE_PASSIVATION
anomaly_0377,0,0.0916,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0524,1,0.9996,
anomaly_0977,1,0.9996,
anomaly_0808,1,0.9996,
anomaly_0346,1,0.9996,
anomaly_0397,1,0.9995,
anomaly_0227,0,0.0193,RULE_DEP_NO_CLEAN
anomaly_0901,1,0.9995,
anomaly_0165,1,0.9991,
anomaly_0336,0,0.0028,RULE_TEST_BEFORE_PASSIVATION
anomaly_0461,0,0.0856,RULE_CMP_NO_DEP
anomaly_0904,0,0.1286,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0464,0,0.0993,RULE_CMP_NO_DEP
anomaly_0509,1,0.9998,
anomaly_0108,0,0.0014,RULE_TEST_BEFORE_PASSIVATION
anomaly_0844,0,0.0028,RULE_LITHO_LEVEL_SKIP
anomaly_0156,0,0.0395,RULE_ETCH_NO_MASK
anomaly_0451,0,0.0030,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0281,1,0.9992,
anomaly_0208,1,0.9996,
anomaly_0155,1,0.9996,
anomaly_0580,0,0.0008,RULE_TEST_BEFORE_PASSIVATION
anomaly_0534,1,0.9997,
anomaly_0973,1,0.9996,
anomaly_0384,1,0.9995,
anomaly_0726,1,0.9992,
anomaly_0939,1,0.9996,
anomaly_0545,1,0.9998,
anomaly_0732,0,0.0020,RULE_TEST_BEFORE_PASSIVATION
anomaly_0872,0,0.0026,RULE_DEP_NO_CLEAN
anomaly_0727,0,0.1089,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0704,0,0.0115,RULE_TEST_BEFORE_PASSIVATION
anomaly_0538,1,0.9995,
anomaly_0357,0,0.1024,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0207,0,0.0161,RULE_CMP_NO_DEP
anomaly_0902,0,0.0875,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0953,0,0.0001,RULE_SHIP_BEFORE_TEST
anomaly_0751,0,0.0119,RULE_METAL_ETCH_NO_LITHO
anomaly_0525,1,0.9996,
anomaly_0260,1,0.9996,
anomaly_0154,1,0.9984,
anomaly_0794,0,0.1623,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0064,1,0.9996,
anomaly_0340,1,0.9996,
anomaly_0805,0,0.0110,RULE_DEP_NO_CLEAN
anomaly_0738,1,0.9997,
anomaly_0478,1,0.9997,
anomaly_0957,0,0.0009,RULE_METAL_ETCH_NO_LITHO
anomaly_0488,0,0.0479,RULE_ETCH_NO_MASK
anomaly_0940,1,0.9994,
anomaly_0187,0,0.0207,RULE_DEP_NO_CLEAN
anomaly_0665,0,0.1326,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0344,1,0.9995,
anomaly_0378,1,0.9996,
anomaly_0950,1,0.9997,
anomaly_0369,0,0.1660,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0562,1,0.9339,
anomaly_0276,1,0.9996,
anomaly_0682,1,0.9992,
anomaly_0267,1,0.9971,
anomaly_0771,1,0.9997,
anomaly_0462,1,0.9998,
anomaly_0710,1,0.9996,
anomaly_0023,0,0.0028,RULE_METAL_ETCH_NO_LITHO
anomaly_0607,1,0.9995,
anomaly_0098,1,0.9995,
anomaly_0296,0,0.0033,RULE_LITHO_LEVEL_SKIP
anomaly_0198,1,0.9989,
anomaly_0476,1,0.9997,
anomaly_0262,0,0.0048,RULE_TEST_BEFORE_PASSIVATION
anomaly_0311,0,0.0097,RULE_DEP_NO_CLEAN
anomaly_0967,0,0.0551,RULE_IMPLANT_NO_MASK
anomaly_0161,1,0.9998,
anomaly_0403,1,0.9992,
anomaly_0533,1,0.9996,
anomaly_0177,0,0.0024,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0639,0,0.0042,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0786,1,0.9995,
anomaly_0900,0,0.0122,RULE_DEP_NO_CLEAN
anomaly_0510,0,0.0293,RULE_ETCH_NO_MASK
anomaly_0932,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0298,1,0.9981,
anomaly_0092,1,0.9996,
anomaly_0549,1,0.9336,
anomaly_0450,1,0.9996,
anomaly_0638,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0015,1,0.9993,
anomaly_0926,0,0.1352,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0856,1,0.9997,
anomaly_0432,1,0.9992,
anomaly_0681,1,0.9995,
anomaly_0492,1,0.9995,
anomaly_0261,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0329,0,0.1158,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0502,1,0.9996,
anomaly_0490,1,0.9994,
anomaly_0396,0,0.1325,RULE_CMP_NO_DEP
anomaly_0036,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0443,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0861,0,0.0171,RULE_CMP_NO_DEP
anomaly_0652,1,0.9996,
anomaly_0205,1,0.9928,
anomaly_0099,1,0.9997,
anomaly_0338,0,0.0004,RULE_TEST_BEFORE_PASSIVATION
anomaly_0013,1,0.9997,
anomaly_0543,0,0.0028,RULE_METAL_ETCH_NO_LITHO
anomaly_0117,1,0.9996,
anomaly_0511,0,0.0078,RULE_TEST_BEFORE_PASSIVATION
anomaly_0408,0,0.0817,RULE_CMP_NO_DEP
anomaly_0689,1,0.9995,
anomaly_0776,0,0.1331,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0180,1,0.9996,
anomaly_0910,0,0.0051,RULE_METAL_ETCH_NO_LITHO
anomaly_0925,0,0.0029,RULE_METAL_ETCH_NO_LITHO
anomaly_0419,1,0.9996,
anomaly_0701,0,0.0589,RULE_ETCH_NO_MASK
anomaly_0114,1,0.9998,
anomaly_0930,1,0.9996,
anomaly_0440,0,0.0334,RULE_DEP_NO_CLEAN
anomaly_0767,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0447,0,0.0392,RULE_ETCH_NO_MASK
anomaly_0392,1,0.9995,
anomaly_0111,1,0.9987,
anomaly_0820,1,0.9996,
anomaly_0800,1,0.9979,
anomaly_0679,0,0.0760,RULE_CMP_NO_DEP
anomaly_0422,1,0.9993,
anomaly_0341,0,0.0269,RULE_DEP_NO_CLEAN
anomaly_0184,1,0.9994,
anomaly_0985,1,0.9996,
anomaly_0423,1,0.9698,
anomaly_0182,1,0.9988,
anomaly_0892,1,0.9995,
anomaly_0660,1,0.9971,
anomaly_0642,0,0.0017,RULE_TEST_BEFORE_PASSIVATION
anomaly_0658,1,0.9997,
anomaly_0691,0,0.0018,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0106,1,0.9997,
anomaly_0669,1,0.9997,
anomaly_0749,0,0.1415,RULE_PAD_OPEN_BEFORE_DEP
anomaly_0367,1,0.9996,
anomaly_0612,1,0.9996,
anomaly_0893,1,0.9997,
anomaly_0316,1,0.9996,
anomaly_0043,1,0.9996,
anomaly_0131,1,0.9993,
anomaly_0441,0,0.0060,RULE_DEP_NO_CLEAN
anomaly_0152,1,0.9995,
anomaly_0984,1,0.9997,
anomaly_0037,1,0.9997,
anomaly_0153,0,0.1983,RULE_CMP_NO_DEP
anomaly_0668,0,0.0023,RULE_METAL_ETCH_NO_LITHO
anomaly_0766,0,0.0008,RULE_METAL_ETCH_NO_LITHO
anomaly_0637,0,0.0033,RULE_METAL_ETCH_NO_LITHO
anomaly_0438,1,0.9998,
anomaly_0453,0,0.0569,RULE_IMPLANT_NO_MASK
anomaly_0859,0,0.0019,RULE_LITHO_LEVEL_SKIP
anomaly_0269,1,0.9998,
anomaly_0134,1,0.9997,
anomaly_0342,0,0.0245,RULE_DEP_NO_CLEAN
anomaly_0791,1,0.9996,
anomaly_0046,1,0.9994,
anomaly_0284,1,0.9984,
anomaly_0645,1,0.9996,
anomaly_0936,1,0.9995,
anomaly_0053,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0809,1,0.9997,
anomaly_0768,1,0.9984,
anomaly_0965,1,0.9997,
anomaly_0569,1,0.9997,
anomaly_0209,1,0.9996,
anomaly_0352,1,0.9996,
anomaly_0216,0,0.0026,RULE_TEST_BEFORE_PASSIVATION
anomaly_0289,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0279,1,0.9996,
anomaly_0941,1,0.9996,
anomaly_0110,0,0.0011,RULE_METAL_ETCH_NO_LITHO
anomaly_0119,1,0.9997,
anomaly_0929,0,0.0155,RULE_CMP_NO_DEP
anomaly_0138,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0107,0,0.0022,RULE_METAL_ETCH_NO_LITHO
anomaly_0307,1,0.9998,
anomaly_0723,1,0.9994,
anomaly_0009,1,0.9989,
anomaly_0810,0,0.0023,RULE_TEST_BEFORE_PASSIVATION
anomaly_0310,0,0.0005,RULE_LITHO_LEVEL_SKIP
anomaly_0557,1,0.9996,
anomaly_0733,1,0.9996,
anomaly_0627,0,0.0021,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0292,0,0.0002,RULE_TEST_BEFORE_PASSIVATION
anomaly_0379,1,0.9967,
anomaly_0877,0,0.0556,RULE_IMPLANT_NO_MASK
anomaly_0745,0,0.0009,RULE_TEST_BEFORE_PASSIVATION
anomaly_0358,0,0.0041,RULE_DEP_NO_CLEAN
anomaly_0703,0,0.0095,RULE_DEP_NO_CLEAN
anomaly_0601,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0519,1,0.9998,
anomaly_0780,0,0.0019,RULE_BACKSIDE_BEFORE_PASSIVATION
anomaly_0551,0,0.0000,RULE_SHIP_BEFORE_TEST
anomaly_0076,1,0.9997,
anomaly_0103,1,0.9995,
anomaly_0577,0,0.0093,RULE_LITHO_LEVEL_SKIP
