EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0108,MEASURE VIA CD,DEPOSIT BARRIER METAL,DENSIFY OXIDE,DENSIFY DIELECTRIC,DRY WAFER
valid_0109,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0110,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,STRIP RESIST
valid_0111,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,VIA OPENING INSPECTION,FIELD PATTERN INSPECTION
valid_0112,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,VIA OPENING INSPECTION,VIA INSPECTION,VIA ETCH
valid_0113,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0114,DEPOSIT BARRIER METAL,MEASURE VIA CD,BACKSIDE CLEAN,POST EXPOSE BAKE,DRY WAFER
valid_0115,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,PASSIVATION ETCH PAD OPENING,DEPOSIT BACKSIDE METAL,PASSIVATION ETCH
valid_0116,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0117,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,CLEAN PAD OPENING,VIA INSPECTION
valid_0118,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0119,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,VIA OPENING INSPECTION,FIELD PATTERN INSPECTION
valid_0120,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,FINAL PARTICLE INSPECTION
valid_0121,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,YIELD ANALYSIS,VIA INSPECTION
valid_0122,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0123,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,DEVELOP PHOTORESIST
valid_0124,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0125,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0126,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,STRIP RESIST
valid_0127,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER SORT TEST
valid_0128,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0129,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,YIELD ANALYSIS,POLYSILICON ETCH
valid_0130,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0131,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0132,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0133,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,FIELD PATTERN INSPECTION,VIA INSPECTION
valid_0134,CLEAN AFTER VIA ETCH,VIA OPENING INSPECTION,VIA INSPECTION,VIA ETCH,DIELECTRIC ETCH VIA
valid_0135,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,MEASURE LINE WIDTH
valid_0136,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,VIA OPENING INSPECTION,CLEAN AFTER POLY ETCH,VIA INSPECTION
valid_0137,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0138,MEASURE VIA CD,DEPOSIT BARRIER METAL,DENSIFY OXIDE,DENSIFY DIELECTRIC,DRY WAFER
valid_0139,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,FIELD OXIDE ETCH
valid_0140,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0141,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER SORT TEST
valid_0142,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,DEVELOP PHOTORESIST
valid_0143,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0144,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0145,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0146,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0147,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER SORT TEST
valid_0148,DEPOSIT BARRIER METAL,MEASURE VIA CD,VIA ETCH THROUGH DIELECTRIC,BACKSIDE CLEAN,FINAL GEOMETRY CHECK
valid_0149,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,VIA INSPECTION,VIA OPENING INSPECTION
valid_0150,CLEAN AFTER VIA ETCH,VIA ETCH,DIELECTRIC ETCH VIA,VIA OPENING INSPECTION,CLEAN AFTER FIELD ETCH
valid_0151,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,VIA INSPECTION
valid_0152,DEPOSIT BARRIER METAL,MEASURE VIA CD,RAPID THERMAL ANNEAL,DEPOSIT POLYSILICON,POST EXPOSE BAKE
valid_0153,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,DEPOSIT INTERLEVEL DIELECTRIC
valid_0154,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,OXIDE ETCH
valid_0155,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0156,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER ETCH,CLEAN AFTER FIELD ETCH,VIA OPENING INSPECTION
valid_0157,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,FIELD PATTERN INSPECTION,VIA OPENING INSPECTION,VIA INSPECTION
valid_0158,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0159,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,YIELD ANALYSIS,VIA INSPECTION,VIA OPENING INSPECTION
valid_0160,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,POLYSILICON ANNEAL,FRONTSIDE CLEAN,MEASURE BACKSIDE CONTACT
valid_0161,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,MEASURE LINE WIDTH
valid_0162,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,BACKSIDE GRIND,FILL VIA METAL,POLYSILICON ANNEAL
valid_0163,CLEAN PAD OPENING,BACKSIDE ETCH CLEAN,BACKSIDE ANNEAL,CLEAN AFTER VIA ETCH,DEPOSIT BACKSIDE METAL
valid_0164,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0165,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0166,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0167,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
valid_0168,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0169,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,VIA INSPECTION,VIA OPENING INSPECTION
valid_0170,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,SHIP LOT
valid_0171,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,VIA OPENING INSPECTION,CLEAN PAD OPENING
valid_0172,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,FINAL PARTICLE INSPECTION
valid_0173,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,FIELD PATTERN INSPECTION,VIA OPENING INSPECTION
valid_0174,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0175,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,VIA INSPECTION,METAL PATTERN INSPECTION
valid_0176,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0177,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,CMP VIA FILL
valid_0178,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT POLYSILICON,DRY WAFER,FINAL GEOMETRY CHECK
valid_0179,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0180,DEPOSIT BARRIER METAL,MEASURE VIA CD,FINAL GEOMETRY CHECK,DEPOSIT POLYSILICON,DRY WAFER
valid_0181,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER SORT TEST
valid_0182,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,DEPOSIT INTERLEVEL DIELECTRIC
valid_0183,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,VIA INSPECTION,VIA OPENING INSPECTION
valid_0184,DEPOSIT BARRIER METAL,MEASURE VIA CD,FINAL GEOMETRY CHECK,POST EXPOSE BAKE,CMP INTERLAYER DIELECTRIC
valid_0185,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0186,DEPOSIT BARRIER METAL,MEASURE VIA CD,VIA ETCH THROUGH DIELECTRIC,DRY WAFER,DEPOSIT POLYSILICON
valid_0187,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,METAL ETCH DRY
valid_0188,CLEAN AFTER VIA ETCH,VIA OPENING INSPECTION,VIA ETCH,DIELECTRIC ETCH VIA,VIA INSPECTION
valid_0189,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER SORT TEST
valid_0190,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0191,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,DEPOSIT INTERLEVEL DIELECTRIC
valid_0192,CLEAN AFTER VIA ETCH,VIA ETCH,VIA OPENING INSPECTION,CLEAN AFTER POLY ETCH,VIA INSPECTION
valid_0193,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PRE ANNEAL CHECK,HARD BAKE
